urn,name,comments,lon,lat
urn:uuid:cc278344-8211-4f7c-884c-d46c53a55109,Cheetham Street,Empty shop unit,53.7414285,-2.0118935
urn:uuid:cfe36ecd-6a1c-4a87-8af7-dfa4677dce4b,Albert Street,Welcome Independent Living,53.7405667,-2.011052
urn:uuid:22e763c3-6533-45b7-9b9f-fa5b0966091c,9 Old Gate,Cornucopia,53.7415602,-2.0146634
urn:uuid:d77c984e-f4ac-4f2c-9b66-6fbd27b67042,32 Market Street,Empty shop unit,,
urn:uuid:7df426e5-dc26-4e31-bb5e-7f68be592559,Station House Station Road,Hebden Bridge Railway Station,53.7377124,-2.0086486
urn:uuid:f8091f9e-21f6-4ee9-a9bb-bf9f1052ea9c,Calder Homles Park,Park Life Cafe,53.739519,-2.0124041
urn:uuid:6da84d28-2547-4000-a4f1-64a5592a5686,1 Bridge Gate,Valli Opticians,53.7412291,-2.0140939
urn:uuid:e1e74c20-faa5-4123-a41e-240b5906a5bb,7 Heptonstall Road,Fox & Goose,53.7419916,-2.0213769
urn:uuid:306fe2fd-48b0-4a44-bbfb-4a5dbf67c475,"Flat, 17-21 West End",Hebden Cars,53.7410418,-2.013952
urn:uuid:dd9eb9eb-d301-49da-83b9-016091439465,New Road,Crossley Mill Nursery,53.740226,-2.0110451
urn:uuid:bc7ad9ff-5b9f-4faf-b47a-87366433ef17,Holme Street,Holme Street Arts Centre,53.7405671,-2.0142504
urn:uuid:ef01cffc-a16b-423e-afa6-e4f5f337ef56,Crown Street,Oasis Wine & Specialist Food Merchant,53.741647,-2.0123686
urn:uuid:ad8a9ec4-2b5c-4fd9-8fc7-c99c426f9e2e,St George's Square,Rohan,53.7419864,-2.012447
urn:uuid:930e7b58-0521-414b-9814-5038479464fa,St. George's Square,L.t.d.,53.7420654,-2.0126676
urn:uuid:e7172271-038c-49b7-9f23-ba386024f12f,St. George's Square,David Woodhead Family Butchers,53.7419551,-2.0123706
urn:uuid:3025d2c8-ef40-4231-8e84-0530118d8c78,9 Albert Street,Vintage shop,53.7413123,-2.0116099
urn:uuid:d024aff6-5277-4dfa-a773-d6e7a9e66b36,Bridge Gate,The Workshop,53.7422598,-2.0120283
urn:uuid:d5f9973f-5951-4e40-9583-d305cb90d2da,17 Market Street,Copa House,53.7413315,-2.0153939
urn:uuid:8b9fbded-768b-4be7-8c72-71270df033f1,30 Market Street,Empty shop unit,,
urn:uuid:cbeec4c8-f345-4192-9aca-2acb33aa43cb,Hebble End,Bicycle Den,53.7403725,-2.0168834
urn:uuid:a7dab670-6ad9-4be3-9882-974ee9b40036,St. George's Square,S K News,53.7421185,-2.0123096
urn:uuid:36dbdb1b-e067-407a-bc6a-14964b1f1c84,St. George's Square,Valentine's,53.7420772,-2.0122821
urn:uuid:1eaa5b26-07a1-4a01-a3a9-3ca8cc64360b,Crown Street,Empty shop unit,53.7415712,-2.0127132
urn:uuid:cad53a18-f2d6-4592-b106-cba4e19ee2bd,37 West End,Mark Hurst Opticians,53.741164,-2.0146091
urn:uuid:b092758c-3096-4ac4-b2c5-745ebc78e47a,35 West End,Blazing Saddles,53.7411295,-2.0145561
urn:uuid:c63d78e9-acef-407c-93e8-856642f7f499,31-33 West End,Ryburnes,53.7411279,-2.0145146
urn:uuid:011a1687-630b-4f05-86ef-fe238033e7b5,29 West End,Finn Gledhill,53.7411247,-2.0144495
urn:uuid:c2f993af-64d8-44b4-af66-a9df0274ab02,27 West End,Drew Forsyth & Co,53.7411216,-2.0143872
